sid,gid,gname,sname,fname,pinyin,abbr,tid,tname,pid,pname,nickname,company,join_day,height,birth_day,star_sign_12,star_sign_48,birth_place,speciality,hobby,experience,catch_phrase,weibo_uid,weibo_verifier,blood_type,tieba_kw,status
40018,40,SHY,朱燕,朱 燕,Zhu Yan,ZY,401,SIII,4001,SHY48 一期生,老干部,沈阳丝芭文化传媒有限公司,2016-10-29,170,08.20,狮子座,狮子处女座，敞开的交界，8.19-8.25,中国 辽宁 大连,一秒变冷漠脸、一秒变流氓兔,相声、喜剧、cosplay,2016.10.29 加入SHY48一期生<br>2016.10.29 加入SHY48 SIII队（TeamSIII）,拥有高挑的身材，却有着超级呆萌的技能哦，一秒变流氓兔！在队中担任老干部的角色，会主动问候体贴队友们，有了她的SHY48更加的温暖了！,6076991598,1b00ad34,B,shy48,44
40019,40,SHY,董思佳,董 思佳,Dong SiJia,DSJ,402,HIII,4001,SHY48 一期生,小狮子,沈阳丝芭文化传媒有限公司,2016-10-30,169,08.15,狮子座,领导狮子座，领导的一周，8.11-8.18,中国 江苏 南京,舞蹈 表演,短期旅行  吃糖醋排骨,2016.10.29 加入SHY48一期生<br>2016.10.29 加入SHY48 HIII队（TeamHIII）<br>2017.07.29 SHY48 TOP16 第十三名,性格在跳舞和台上有时挺“闹腾”的 ~ 不过长了一张很文静的脸hh  ，生活中有点小懒会赖床(′▽｀)不过听到节奏感很强的音乐就会突然蹦哒起来，喜欢很有趣的事物 食物最喜欢糖醋排骨了~其,6085952810,958ee630,AB,shy48,44
40041,40,SHY,方诗涵,方 诗涵,Fang ShiHan,FSH,402,HIII,4002,SHY48 二期生,小葵、绿绿,沈阳丝芭文化传媒有限公司,2017-04-29,169,11.28,射手座,独立射手座，独立的一周，11.25-12.2,中国 辽宁 抚顺,弹古筝、国画、笑点低,弹古筝、写作、阅读,2017.04.29 加入SHY48二期生<br>2017.04.29 加入SHY48TeamHIII队（TeamHIII）,,6226727842,9f841b18,-,shy48,44
40043,40,SHY,龚梦婷,龚 梦婷,Gong MengTing,GMT,402,HIII,4002,SHY48 二期生,米拉,沈阳丝芭文化传媒有限公司,2017-04-29,170,03.02,双鱼座,心灵双鱼座，心灵的一周，2.23-3.2,中国 湖南 娄底,占卜、演戏、唱歌、化妆,学习占星和推运、化妆、唱歌,2017.04.29 加入SHY48二期生<br>2017.04.29 加入SHY48TeamHIII队（TeamHIII）,,6228187615,fc4a1027,-,shy48,44
40021,40,SHY,寇承希,寇 承希,Kou ChengXi,KCX,402,HIII,4001,SHY48 一期生,KoKo，希希,沈阳丝芭文化传媒有限公司,2016-10-30,164,11.20,天蝎座,天蝎射手座，变革的交界，11.19-11.24,中国 四川 ,摄影，唱歌,旅游，看书，收集独特的物品,2016.10.29 加入SHY48一期生<br>2016.10.29 加入SHY48 HIII队（TeamHIII）<br>2017.07.29 SHY48 TOP16 第五名,觉得自己有些双面性格，安静的时候很安静，闹的时候很闹，对一些事还有点三分钟热度，是个有时候自己都会迷糊自己的傻白苦,6085919643,e309b505,A,shy48,44
40044,40,SHY,逯芳竹,逯 芳竹,Lu FangZhu,LFZ,402,HIII,4002,SHY48 二期生,逯宝、小竹子,沈阳丝芭文化传媒有限公司,2017-04-29,170,09.19,处女座,处女天秤座，美的交界，9.19-9.24,中国 黑龙江 哈尔滨,唱歌、舞蹈,绘画、大提琴,2017.04.29 加入SHY48二期生<br>2017.04.29 加入SHY48TeamHIII队（TeamHIII）,,6218529389,9f841b18,-,shy48,44
40024,40,SHY,李熙凝,李 熙凝,Li XiNing,LXN,402,HIII,4001,SHY48 一期生,喵,沈阳丝芭文化传媒有限公司,2016-10-30,175,10.13,天秤座,戏剧天秤座，戏剧的一周，10.11-10.18,中国 辽宁 锦州,古筝 爵士 国标 射击 美术,吃零食 打游戏 睡觉,2016.10.29 加入SHY48一期生<br>2016.10.29 加入SHY48 HIII队（TeamHIII）,我是个像猫一样的女孩 好奇心很重 遇到喜欢的事情会很努力 我爱笑也爱哭 希望把微笑带给你们 我爱吃冰淇凌和甜甜的食物 我的梦想是可以一直唱歌跳舞 以后希望可以尝试演戏 我会更加努力,6085925136,e309b505,AB,shy48,44
40026,40,SHY,任雨情,任 雨情,Ren YuQing,RYQ,402,HIII,4001,SHY48 一期生,人元气,沈阳丝芭文化传媒有限公司,2016-10-30,162,11.06,天蝎座,深奥天蝎座，深奥的一周，11.3-11.11,中国 北京 ,发呆时间特别长、脑洞特别大,宅舞 发呆,2016.10.29 加入SHY48一期生<br>2016.10.29 加入SHY48 HIII队（TeamHIII）<br>2017.07.29 SHY48 TOP16 第十四名,是活泼可爱聪明调皮灵敏机智温柔善良美丽大方の人元气!初次见面!请多关照!(由此可以看出我的脑洞特别大了吧哈哈哈_(:qゝ∠)_),6092097437,e309b505,-,shy48,44
40035,40,SHY,王金铭,王 金铭,Wang JinMing,WJM,402,HIII,1006,SNH48 六期生,田田,沈阳丝芭文化传媒有限公司,2016-03-26,168,07.18,巨蟹座,说客巨蟹座，说客的一周，7.11-7.18,中国 辽宁 沈阳,舞蹈 游泳 电竞,电竞  体育  唱歌,2016.03.26 加入SNH48六期生<br>2016.03.26 加入SNH48TeamH队（TeamHII）<br>2017.04.08 加入SHY48TeamHIII队<br>2017.07.29 SHY48 TOP16 第七名,hi 大家好 我是个来自东北性格特别慢的女孩，很开心能加入h3 这个大家庭 ，平时我喜欢慢节奏的音乐，喜欢拍照和电竞，喜欢一切可爱的东西，喜欢喜欢我的你们，从小学古典舞长大，希望以,5861422830,56c79838,B,shy48,44
40028,40,SHY,杨肖,杨 肖,Yang Xiao,YX,402,HIII,4001,SHY48 一期生,肖肖,沈阳丝芭文化传媒有限公司,2016-10-30,163,01.30,水瓶座,天才水瓶座，天才的一周，1.23-1.30,中国 广西 ,特长就是没特长,小提琴，旅游，麻雀，烘焙,2016.10.29 加入SHY48一期生<br>2016.10.29 加入SHY48 HIII队（TeamHIII）,嗯，我觉得自己性格比较慢热，是个喜欢安静的沉浸在自己小世界的人。不太擅长表达，但会为了朋友制造开心的气氛，别人能开心的话自己也会很开心。正所谓予人玫瑰，手留余香。嘿嘿,6092098134,e309b505,O,shy48,44
